Retailer,RetailerID,InvoiceDate,Region,State,City,Product,PricePerUnit,UnitsSold,TotalSales,OperatingProfit,OperatingMargin,SalesMethod
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,200","$600,000 ","$300,000 ",Operating Margin,In-store
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,"1,000","$500,000 ","$150,000 ",Operating Margin,In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,"1,000","$400,000 ","$140,000 ",Operating Margin,In-store
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,850,"$382,500 ","$133,875 ",Operating Margin,In-store
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",Operating Margin,In-store
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,"1,000","$500,000 ","$125,000 ",Operating Margin,In-store
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,250","$625,000 ","$312,500 ",Operating Margin,In-store
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,900,"$450,000 ","$135,000 ",Operating Margin,Outlet
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,950,"$380,000 ","$133,000 ",Operating Margin,Outlet
Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,825,"$371,250 ","$129,938 ",Operating Margin,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",Operating Margin,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,"1,000","$500,000 ","$125,000 ",Operating Margin,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,220","$610,000 ","$305,000 ",Operating Margin,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,925,"$462,500 ","$138,750 ",Operating Margin,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,950,"$380,000 ","$133,000 ",Operating Margin,Outlet
Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,800,"$360,000 ","$126,000 ",Operating Margin,Outlet
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,850,"$510,000 ","$153,000 ",Operating Margin,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,950,"$475,000 ","$118,750 ",Operating Margin,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,200","$600,000 ","$300,000 ",Operating Margin,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,900,"$450,000 ","$135,000 ",Operating Margin,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,900,"$360,000 ","$126,000 ",Operating Margin,Outlet
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,825,"$371,250 ","$129,938 ",Operating Margin,Outlet
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,825,"$495,000 ","$148,500 ",Operating Margin,Outlet
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,950,"$475,000 ","$118,750 ",Operating Margin,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,220","$732,000 ","$366,000 ",Operating Margin,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,925,"$508,750 ","$152,625 ",Operating Margin,Outlet
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,900,"$450,000 ","$157,500 ",Operating Margin,Outlet
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,850,"$425,000 ","$148,750 ",Operating Margin,Outlet
Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,875,"$525,000 ","$157,500 ",Operating Margin,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,000","$650,000 ","$162,500 ",Operating Margin,Outlet
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,250","$750,000 ","$375,000 ",Operating Margin,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ","$165,000 ",Operating Margin,Outlet
